rowIdZuellig,codeZuellig,rowIdLynXCRM,codeLynXCRM,distance
366,201503,554,0011i00000k1W9i,0
367,201506,807,0011i000001xmvK,0
368,201508,913,0011i000001xna0,0
369,201514,1806,0011i000001xnBv,0
370,201517,1414,0011i000001xmbj,0
371,201518,185,0011i000001xmyD,0
372,201519,1885,0011i000001xmeg,69
373,201520,554,0011i00000k1W9i,0
374,201521,528,0011i000001xnFB,0
375,201526,796,0011i000001xmhw,0
376,201533,1956,0011i000001xn82,0
377,201535,520,0011i000001xnKi,0
378,201536,1152,0011i000001xnBI,0
379,201542,835,0011i000001xnIL,0
380,201544,1801,0011i00000oXvbW,24
381,201549,1433,0011i000001xnLM,0
382,201553,1995,0011i000001xnTv,0
383,201556,541,0011i000001xnVs,0
384,201562,1435,0011i000001xnIe,0
385,201564,824,0011i000001xnIT,0
386,201569,959,0011i000001xn21,0
387,201581,25,0011i000001xmiO,0
388,201585,1849,0011i000001xnc6,40
389,201599,830,0011i000001xnFg,19
390,201619,748,0011i000001xnFG,0
391,201625,1300,0011i000001xmm3,10
392,201636,568,0011i000001xncz,0
393,201637,1304,0011i000001xnL7,0
394,201639,1673,0011i000001xmbu,40
395,201649,1118,0011i000001xnBw,0
396,201653,1437,0011i000001xnLI,36
397,201659,717,0011i000001xnMJ,9
398,201666,68,0011i000001xn5W,0
399,201671,5,0011i000001xmrK,373
400,201675,2120,0011i000001xnHG,827
401,201677,755,0011i000001xn0g,31
402,201679,1764,0011i000001xnC7,15
403,201680,65,0011i000001xn9T,168
404,201681,1338,0011i000001xnK3,20
405,201688,659,0011i000001xnBq,0
406,201689,547,0011i000001xmmF,0
407,201690,1769,0011i000001xmkP,0
408,201700,1426,0011i000001xnXr,372
409,201708,1471,0011i000001xmh5,0
410,201722,2100,0011i000001xmqK,219
411,201724,1784,0011i000001xn3S,0
412,201742,3,0011i000001xmyr,67
413,201743,1873,0011i000001xnNv,485
414,201748,1758,0011i000001xmbE,200
415,201750,3,0011i000001xmyr,66
416,201754,1973,0011i000001xnYF,0
417,201758,1736,0011i000001xn8Q,54
418,201768,1460,0011i000001xnX6,0
419,201771,843,0011i000001xms6,0
420,201775,1921,0011i000001xmtP,0
421,201780,1974,0011i000001xmfd,16
422,201782,2117,0011i000001xnbN,76
423,201784,458,0011i000001xmd4,6
424,201786,1976,0011i000001xmvY,0
425,201788,1787,0011i00000rZxw4,32
426,201796,826,0011i000001xnEr,0
427,201799,557,0011i000001xn0a,0
428,201802,1917,0011i000001xmrn,0
429,201804,1588,0011i000001xnNN,0
430,201806,1838,0011i000001xnDf,344
431,201808,1361,0011i000001xmtS,0
432,201810,1122,0011i000001xnbw,0
433,201814,1300,0011i000001xmm3,0
434,201819,1476,0011i000001xnDT,0
435,201820,843,0011i000001xms6,0
436,201825,159,0011i000001xnLL,80
437,201828,1426,0011i000001xnXr,62
438,201829,2014,0011i000001xnBi,0
439,201843,1335,0011i000001xmuB,0
440,201844,1900,0011i000007DbTn,251
441,201863,1640,0011i000001xnFM,19
442,201880,2063,0011i000001xn9R,90
443,201881,1158,0011i000001xmbz,0
444,201883,83,0011i000001xnL6,0
445,201885,1908,0011i000001xnZg,0
446,201886,857,0011i000001xmhk,0
447,201890,2023,0011i000001xnYO,0
448,201895,86,0011i000001xnVy,10
449,201904,936,0011i000001xn5d,423
